id,amount,source_account,dest_account,timestamp,category,priority
1,8526.13,ACC0670,ACC0175,1720719320005,REFUND,4
2,2506.74,ACC0883,ACC0746,1713775324658,TRANSFER,3
3,48.39,ACC0471,ACC0838,1705686559902,WITHDRAWAL,1
4,1865.03,ACC0784,ACC0531,1704924913623,TRANSFER,5
5,3201.42,ACC0450,ACC0038,1705692361607,WITHDRAWAL,3
6,2103.01,ACC0304,ACC0739,1731221700173,WITHDRAWAL,2
7,756.20,ACC0660,ACC0681,1725984309658,INTEREST,1
8,9423.52,ACC0138,ACC0111,1704568190687,REFUND,3
9,785.05,ACC0720,ACC0935,1712866179338,DEPOSIT,1
10,1214.72,ACC0996,ACC0563,1733037118299,PURCHASE,3
11,3236.35,ACC0730,ACC0296,1718289777157,FEE,4
12,4324.60,ACC0546,ACC0296,1707257186746,DEPOSIT,2
13,945.48,ACC0476,ACC0822,1708177456844,INTEREST,1
14,2239.59,ACC0413,ACC0164,1724769322430,REFUND,2
15,3270.52,ACC0793,ACC0393,1708222155752,FEE,2
16,1214.72,ACC0996,ACC0563,1733037120050,PURCHASE,3
17,6043.29,ACC0490,ACC0185,1705568443854,DEPOSIT,4
18,3372.63,ACC0030,ACC0221,1735484694218,WITHDRAWAL,5
19,5614.03,ACC0293,ACC0395,1717804313856,PURCHASE,4
20,8957.46,ACC0328,ACC0496,1723384370164,WITHDRAWAL,3
21,2994.81,ACC0321,ACC0670,1711052312386,TRANSFER,4
22,3144.81,ACC0043,ACC0578,1710634784670,PURCHASE,2
23,8118.88,ACC0440,ACC0155,1731503754051,WITHDRAWAL,5
24,1474.49,ACC0619,ACC0808,1710657613522,PURCHASE,3
25,8596.23,ACC0844,ACC0744,1705760409650,PAYMENT,1
26,7610.39,ACC0992,ACC0816,1724040343760,FEE,5
27,4474.60,ACC0879,ACC0681,1715111308385,INTEREST,4
28,1524.43,ACC0366,ACC0020,1706770991397,DEPOSIT,4
29,4667.81,ACC0708,ACC0146,1712703310884,TRANSFER,1
30,5691.95,ACC0717,ACC0794,1728884174843,TRANSFER,4
31,4695.59,ACC0460,ACC0426,1714563363163,REFUND,1
32,5310.27,ACC0548,ACC0648,1717892175246,TRANSFER,1
33,702.29,ACC0871,ACC0431,1719956381240,PAYMENT,5
34,2304.80,ACC0703,ACC0565,1707059225090,INTEREST,4
35,5492.59,ACC0805,ACC0528,1709659066101,PAYMENT,1
36,6724.68,ACC0669,ACC0562,1734951097577,PAYMENT,2
37,8332.68,ACC0537,ACC0205,1733928151208,INTEREST,2
38,9354.11,ACC0685,ACC0569,1729678734710,REFUND,3
39,6875.90,ACC0555,ACC0547,1734645163606,INTEREST,4
40,6682.52,ACC0865,ACC0387,1731829443720,REFUND,5
41,5333.28,ACC0837,ACC0618,1731507064246,DEPOSIT,1
42,4871.58,ACC0275,ACC0631,1728454713707,DEPOSIT,4
43,9026.56,ACC0545,ACC0472,1706360174109,PURCHASE,5
44,4433.40,ACC0616,ACC0718,1720443363326,PAYMENT,1
45,3759.81,ACC0829,ACC0838,1725676363824,PAYMENT,1
46,2704.03,ACC0857,ACC0627,1732810268150,INTEREST,2
47,2405.62,ACC0481,ACC0279,1712293135245,DEPOSIT,3
48,1099.69,ACC0782,ACC0690,1733116006465,PAYMENT,1
49,2409.14,ACC0230,ACC0991,1722446118018,FEE,2
50,7349.76,ACC0799,ACC0376,1710531992085,FEE,3
51,7727.82,ACC0432,ACC0871,1729115967835,PURCHASE,5
52,5525.66,ACC0675,ACC0207,1728421656393,TRANSFER,1
53,5558.75,ACC0206,ACC0923,1720566482032,DEPOSIT,1
54,2846.61,ACC0048,ACC0327,1726580816911,FEE,2
55,1834.64,ACC0643,ACC0508,1710024295417,FEE,1
56,2124.50,ACC0472,ACC0509,1723661425293,PURCHASE,4
57,8294.05,ACC0347,ACC0205,1720450967213,FEE,3
58,4998.41,ACC0035,ACC0862,1715565143818,PURCHASE,2
59,6661.87,ACC0065,ACC0902,1728201033040,DEPOSIT,5
60,5493.80,ACC0482,ACC0513,1719100052659,PURCHASE,3
61,1214.72,ACC0996,ACC0563,1733037119681,PURCHASE,3
62,7260.47,ACC0932,ACC0280,1723613130409,INTEREST,3
63,4954.26,ACC0443,ACC0469,1727904387606,PAYMENT,4
64,8332.89,ACC0480,ACC0009,1732859272722,PAYMENT,3
